president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joe Biden,All polls,3/23/2022,2/6/2021,2/8/2021,Morning Consult,B,15000,a,.1469369,0,55,33,54.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74370,139738,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/5/2021,2/8/2021,YouGov,B+,2508,a,1.3288424,0,61,39,62.263649,39.659628,"","",https://www.cbsnews.com/news/covid-relief-opinion-poll/,74357,139683,2/9/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/7/2021,2/9/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20929771,0,51,47,53.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74359,139696,2/10/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/6/2021,2/9/2021,YouGov,B+,1500,a,.79866219,0,50,37,51.263649,37.659628,"","",https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf,74360,139697,2/10/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/7/2021,2/9/2021,Morning Consult,B,15000,a,.14592074,0,55,33,54.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74371,139739,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/8/2021,2/10/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20928828,0,50,47,52.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74362,139720,2/11/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/8/2021,2/10/2021,Morning Consult,B,15000,a,.14475518,0,55,33,54.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74389,139832,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/8/2021,2/9/2021,HarrisX,B+,938,rv,.64601758,0,60,40,56.411615,41.302973,"","",https://thehill.com/hilltv/what-americas-thinking/538612-what-americas-thinking-february-12-2021,74374,139761,2/12/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/9/2021,2/10/2021,Ipsos,B-,1001,a,.73235578,0,57.42,35.18,56.018193,36.390738,"","",https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-02102021,74361,139719,2/10/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/9/2021,2/11/2021,Morning Consult,B,15000,a,.14375856,0,55,33,54.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74390,139833,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/9/2021,2/11/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20920552,0,52,45,54.040379,39.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74373,139760,2/12/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/7/2021,2/14/2021,Saint Leo University,C/D,1000,a,.80855287,0,60.9,32.3,58.061577,34.6018,"","",https://polls.saintleo.edu/new-saint-leo-polling-survey-shows-six-out-of-10-americans-like-bidens-job-performance-so-far/,74408,139905,2/24/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/3/2021,2/18/2021,Gallup,B+,1021,a,1.4180286,0,56,40,55.988818,39.05786,"","",https://news.gallup.com/poll/329948/biden-gets-high-marks-covid-response.aspx,74402,139858,2/22/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/10/2021,2/12/2021,Morning Consult,B,15000,a,.14255466,0,55,33,54.069948,36.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74391,139834,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/11/2021,2/13/2021,Morning Consult,B,15000,a,.14087975,0,55,34,54.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74392,139835,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/11/2021,2/13/2021,RMG Research,B-,1200,rv,.68602173,0,57,35,56.340437,35.876185,"","",https://scottrasmussen.com/biden-job-approval-rating-at-56/,74411,139908,2/24/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/10/2021,2/14/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12516127,0,53,43,55.040379,37.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74379,139766,2/15/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/11/2021,2/15/2021,Navigator Research,B/C,1067,rv,.86322248,0,56,38,55.155484,37.280715,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Toplines-02.16.2021.pdf,74383,139794,2/17/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/11/2021,2/15/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37310398,0,53,44,55.040379,38.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74381,139772,2/16/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/12/2021,2/14/2021,Morning Consult,B,15000,a,.13924131,0,54,34,53.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74393,139836,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/11/2021,2/14/2021,Quinnipiac University,A-,1056,a,1.5112685,0,50,38,53.427513,37.622197,"","",https://poll.qu.edu/poll-release?releaseid=3768,74387,139830,2/17/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/12/2021,2/15/2021,HarrisX,B+,2835,rv,1.6565277,0,59,41,55.411615,42.302973,"","",https://thehill.com/hilltv/what-americas-thinking/539464-what-americas-thinking-february-19-2021,74398,139853,2/19/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/12/2021,2/15/2021,Morning Consult,B,1987,rv,.0546841,0,56,38,55.069948,41.211739,"","",https://www.politico.com/f/?id=00000177-abaf-d644-a377-efbf5b3e0000,74384,139795,2/17/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/13/2021,2/15/2021,Morning Consult,B,15000,a,.13760468,0,54,34,53.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74394,139837,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/12/2021,2/15/2021,Morning Consult,B,3300,a,.09081909,0,56,34.5,55.069948,37.711739,*,"",https://assets.morningconsult.com/wp-uploads/2021/02/24152659/210264_crosstabs_MC_TECH_SPACE_Adults_v1_AUTO.pdf,74415,139933,2/25/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/14/2021,2/16/2021,Morning Consult,B,15000,a,.13715931,0,54,34,53.069948,37.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74395,139838,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/14/2021,2/16/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20663741,0,50,47,52.040379,41.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74385,139810,2/17/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,1.1872816,0,51,42,49.71889,41.794145,"","",https://echeloninsights.com/in-the-news/february-omnibus-political-update/,74400,139859,2/22/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/13/2021,2/16/2021,YouGov,B+,1500,a,.84436013,0,54,37,55.263649,37.659628,"","",https://docs.cdn.yougov.com/3at75tb28w/econTabReport.pdf,74386,139811,2/17/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/14/2021,2/15/2021,Morning Consult,B,1984,rv,.05442481,0,62,33,61.069948,36.211739,"","",https://www.politico.com/f/?id=00000177-a857-d644-a377-eedf501c0000,74380,139771,2/16/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/15/2021,2/17/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20711441,0,50,48,52.040379,42.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74388,139831,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/15/2021,2/17/2021,Morning Consult,B,15000,a,.13719907,0,54,35,53.069948,38.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74417,139936,2/25/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/16/2021,2/18/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20735107,0,49,49,51.040379,43.216619,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74397,139840,2/19/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/16/2021,2/18/2021,Morning Consult,B,15000,a,.13721704,0,54,35,53.069948,38.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74418,139937,2/25/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/17/2021,2/19/2021,Morning Consult,B,15000,a,.13594532,0,54,35,53.069948,38.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74419,139938,2/25/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/17/2021,2/18/2021,Ipsos,B-,1005,a,.70745931,0,55.5,35.95,54.098193,37.160738,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_18_2021.pdf,74396,139839,2/18/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/17/2021,2/21/2021,Hart Research Associates,B-,1000,v,1.2397084,0,58,42,56.557279,41.085397,"","",https://context-cdn.washingtonpost.com/notes/prod/default/documents/421e7eef-ea64-4ee0-a66e-e65f132216f2/note/d669f0af-94fb-45af-8d2e-d12e474ed5d3.#page=5,74584,140404,3/30/2021,16:23:18 23 Mar 2022
Joe Biden,All polls,3/23/2022,2/18/2021,2/20/2021,Morning Consult,B,15000,a,.13451171,0,54,35,53.069948,38.211739,"",T,https://morningconsult.com/form/global-leader-approval/,74420,139939,2/25/2021,16:23:18 23 Mar 2022
